UID,ALUMINUM_UNITS,COND_UNITS,DOC_UNITS,NITRATE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PTL_UNITS,SILICA_UNITS,AMMONIA_N_RESULT,COND_RESULT,DOC_RESULT,NITRATE_N_RESULT,NITRITE_N_RESULT,NTL_RESULT,PH_RESULT,PTL_RESULT,SILICA_RESULT
8403,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.015,123.3,6.99,0.002,0,0.46,7.88,22,4.318
8404,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.013,52.4,16.8,0.004,0,0.874,7.06,23,0.236
8405,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,33.5,7.98,0.003,0,0.396,7.39,32,6.059
8407,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.01,85.4,3.7,0.05,,0.3,8.1,9,1.1
8408,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.015,67.8,6.81,0.002,0,0.529,7.18,39,3.746
8409,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.01,293,4.08,0.003,0,0.765,8.61,59,3.576
8410,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.02,2160,2.91,0,0,0.305,8.11,8,1.317
8412,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.022,76.2,2.6,0.003,0.001,0.285,7.39,14,1.772
8413,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0058,92.2,3.44,0.002,0,0.59,7.51,30,12.194
8414,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.096,424,8.09,0.01,0,0.936,9.53,712,19.95
8416,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.016,169.8,7.29,0.002,0,1.305,9.03,69,3.911
8422,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.04,287,2.19,0.53,,0.7,8,5,3.056
8423,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0078,291,4.43,0.002,0,0.52,8.63,26,2.015
8424,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0214,24,4.99,0.005,,0.333,7.6,10.5,6.44
