SITE_ID,EPA_REG,ECO_LEV_3,NUT_REG,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,HUC_2,HUC_8
NLA06608-4504,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11070106
NLA06608-4610,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11130303
NLA06608-4643,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11070107
NLA06608-4650,Region_6,35,IX,IX,MAN-MADE,PLNLOW MAN-MADE,8,8040206
NLA06608-4659,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,11,11130302
NLA06608-4686,Region_6,35,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11140207
NLA06608-4698,Region_6,35,IX,IX,NATURAL,PLNLOW NATURAL,11,11140206
NLA06608-4828,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11130303
NLA06608-4929,Region_6,37,IX,IX,MAN-MADE,EHIGH MAN-MADE,11,11140104
NLA06608-4949,Region_6,40,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11070105
NLA06608-9999,Region_1,58,VIII,VIII,NATURAL,EHIGH NATURAL,10,1080101
NLA06608-ACAD_LAKES_0435,Region_1,82,VIII,VIII,NATURAL,EHIGH NATURAL,1,1050002
NLA06608-ALPS-1218,Region_1,82,VIII,VIII,NATURAL,EHIGH NATURAL,1,1050002
NLA06608-ALSC:020149,Region_2,58,VIII,VIII,NATURAL,EHIGH NATURAL,2,2010006
NLA06608-ELS:1C2-032,Region_1,59,XIV,CPL,NATURAL,EHIGH NATURAL,1,1070002
NLA06608-ELS:1C3-003,Region_1,58,VIII,VIII,NATURAL,EHIGH NATURAL,1,1030001
