TSN,,Genus,,Species,,Variety
44210,,Nouria,,johnsoni,,
44211,,Nouria,,polymorphinoides,,
44212,,Rzehakinidae,,,,
44213,,Miliammina,,,,
44214,,Miliammina,,earlandi,,
44215,,Miliammina,,fusca,,
44216,,Miliammina,,pariaensis,,
44217,,Miliammina,,petila,,
44218,,Miliammina,,arenacea,,
44219,,Lituolidae,,,,
44220,,Haplophragmoidinae,,,,
44221,,Haplophragmoides,,,,
44222,,Haplophragmoides,,bradyi,,
44223,,Haplophragmoides,,planissimus,,
44224,,Haplophragmoides,,sphaeriloculum,,
44225,,Haplophragmoides,,hancocki,,
44226,,Haplophragmoides,,manilaensis,,
44227,,Haplophragmoides,,wilberti,,
44228,,Haplophragmoides,,bonplandi,,
44229,,Haplophragmoides,,canariensis,,
44230,,Haplophragmoides,,coronatus,,
44231,,Haplophragmoides,,rigens,,
44232,,Haplophragmoides,,rotulatum,,
44233,,Haplophragmoides,,scitulum,,
44234,,Haplophragmoides,,trullissata,,
44235,,Haplophragmoides,,subglobosum,,
44236,,Haplophragmoides,,columbiensis,,
44237,,Cribrostomoides,,,,
44238,,Cribrostomoides,,crassimargo,,
44239,,Cribrostomoides,,jeffreysi,,
44240,,Cribrostomoides,,scitulus,,
44241,,Cribrostomoides,,veleronis,,
44242,,Cribrostomoides,,nitidum,,
44243,,Cribrostomoides,,salsum,,
44244,,Cribrostomoides,,subglobsum,,
44245,,Cribrostomoides,,wiesneri,,
44246,,Recurvoides,,,,
44247,,Recurvoides,,contortus,,
44248,,Recurvoides,,turbinatus,,
44249,,Recurvoides,,clenchi,,
44250,,Recurvoides,,obsoletus,,
44251,,Adercotryma,,,,
44252,,Adercotryma,,glomerta,,
44253,,Discammina,,,,
44254,,Discammina,,compressa,,
44255,,Trochamminoides,,,,
44256,,Trochamminoides,,proteus,,
44257,,Trochamminita,,,,
44258,,Trochamminita,,salsa,,
44259,,Trochamminita,,irregularis,,
44260,,Sphaerammininae,,,,
44261,,Lituolinae,,,,
44262,,Ammobaculites,,,,
44263,,Ammobaculites,,arenarius,,
44264,,Ammobaculites,,crassus,,
44265,,Ammobaculites,,dilatatus,,
44266,,Ammobaculites,,exiguus,,
44267,,Ammobaculites,,foliaceus,,
44268,,Ammobaculites,,agglutinans,,
44269,,Ammobaculites,,americanus,,
44270,,Ammobaculites,,armasi,,
44271,,Ammobaculites,,calcareus,,
44272,,Ammobaculites,,directus,,
44273,,Ammobaculites,,diversus,,
44274,,Ammobaculites,,reophaciformis,,
44275,,Ammotium,,,,
44276,,Ammotium,,cassis,,
44277,,Ammotium,,salsum,,
44278,,Ammoastuta,,,,
44279,,Ammoastuta,,salsa,,
44280,,Ammoastuta,,inepta,,
44281,,Ammoscalaria,,,,
44282,,Ammoscalaria,,pseudospiralis,,
44283,,Ammoscalaria,,tenuimargo,,
44284,,Ammomarginulina,,,,
44285,,Ammomarginulina,,foliacea,,
44286,,Lituola,,,,
44287,,Lituola,,salsa,,
44288,,Placopsilininae,,,,
44289,,Placopsilina,,,,
44290,,Placopsilina,,bradyi,,
44291,,Placopsilina,,cenomana,,
44292,,Placopsilina,,confusa,,
44293,,Placopsilinella,,,,
44294,,Placopsilinella,,aurantica,,
44295,,Coscinophragmatinae,,,,
44296,,Bdelloidina,,,,
44297,,Bdelloidina,,aggregata,,
44298,,Barkerinidae,,,,
44299,,Loftusiidae,,,,
44300,,Choffatellinae,,,,
