"SITEID_12","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol"
"NLA12_VT-102","NLA06608-0113",44.71962755,-72.23382351,83.35219021,12.1,4.253675398,396.91,1,1110000,58,58,"Region_1",142.2,3230,250,14,3610,8.33,15.4537179487179,5.45934640522876
"NLA12_VT-103","NLA06608-0433",44.67386066,-73.36140792,107359.9005,47,962.1652051,28.85,2,2010008,83,83,"Region_1",174,3170,343,20,2157,8.46,14.905,5.41575163398693
"NLA12_VT-104","NLA06608-0177",43.89113168,-73.0524672,41.12620274,18,3.479405685,384.73,2,2010002,58,58,"Region_1",55.4,3010,296,9,2163,7.96,13.9919230769231,5.40019607843137
"NLA12_VT-106","",44.77783926,-71.79916952,9.495781733,4.1,1.192061654,350.12,1,1080101,58,58,"Region_1",30.3,7290,315,20,3887,7.19,18.085,5.31496732026144
"NLA12_VT-109","NLA06608-2466",42.7469444,-72.83550844,10.89805771,1.9,1.56213999,516.79,1,1080203,58,58,"Region_1",24.1,5700,429,19,296,7.07,24.6774358974359,5.40738562091503
"NLA12_VT-110","",44.74644759,-72.59930665,7.163740773,14.6,1.485668519,319.97,2,2010005,58,58,"Region_1",25.7,2760,231,9,150,7.18,13.3821794871795,5.45934640522876
"NLA12_VT-112","",44.41873636,-72.94729757,10.86068556,4.2,1.542170064,191.17,2,2010003,58,58,"Region_1",30.55,4065,483.5,17.5,953.5,7.37,22.9646153846154,5.45934640522876
"NLA12_VT-114","NLA06608-3030",44.95572697,-71.71766789,177.5576428,31,5.589399873,529.93,1,1110000,58,58,"Region_1",23.9,3010,136,10,3652,7.29,12.5752564102564,5.31496732026144
"NLA12_VT-115","",44.42819135,-72.23012775,6.356745175,9.3,1.392894241,467.79,1,1080102,58,58,"Region_1",82.6,8610,429,31,3693,7.67,14.354358974359,5.45934640522876
"NLA12_VT-R01","NLA06608-2086",44.76282381,-71.95376535,12.54780078,5.3,1.737689147,594.9,1,1110000,58,58,"Region_1",169.5,2510,308,12,5401,8.32,21.2320512820513,5.31496732026144
"NLA12_VT-R02","NLA06608-4252",43.49666793,-72.91829204,26.21839485,22,2.45431804,451.66,2,2010002,58,58,"Region_1",71.1,2640,216,5,1763,7.99,15.6994871794872,5.40967320261438
"NLA12_WA-101","NLA06608-2193",46.42201675,-124.0356028,17.62294147,1.35,4.368523436,6.52,17,17100106,1,1,"Region_10",72.5,8500,389.5,26,197,5.09,20.268125,5.46013071895425
"NLA12_WA-102","NLA06608-0033",47.31085035,-121.29956,15.16452384,1.5,1.777964491,732.43,17,17030001,77,77,"Region_10",106.5,7340,1573,180,12868,7.19,18.35,5.73333333333333
"NLA12_WA-103","NLA06608-2513",47.12004952,-122.577182,441.4865513,28.7,17.47029615,72.65,17,17110019,2,2,"Region_10",112,2290,286,9,2070,8.23,14.246875,5.2002614379085
"NLA12_WA-104","NLA06608-0529",47.07694132,-119.324822,2575.598798,8.2,100.9812025,320.11,17,17020015,10,10,"Region_10",272,2800,624,99,28523,8.61,20.5,6.18849673202614
"NLA12_WA-106","NLA06608-0721",46.49649104,-122.4113066,84.03295981,4.65,4.747821086,238.87,17,17080005,4,4,"Region_10",53.7,6500,968,53,18111,8.78,17.63,5.27967320261438
"NLA12_WA-107","NLA06608-0086",45.61684794,-122.4258001,101.3084781,18.6,8.995293552,55.6,17,17080001,3,3,"Region_10",97.5,3080,1074,74,22676,8.43,13.2778947368421,5.63751633986928
"NLA12_WA-108","NLA06608-2241",48.15395251,-117.3185295,120.369071,19.3,9.39378769,682.11,17,17010308,15,15,"Region_10",83.7,3760,259,38,22566,7.76,8.97842105263158,5.6218954248366
"NLA12_WA-109","NLA06608-0593",48.70871678,-122.3273101,10.31471722,28.5,1.329268432,104.79,17,17110002,2,2,"Region_10",67.9,3850,256,15,3533,7.65,NA,5.49006535947712
"NLA12_WA-110","NLA06608-2257",47.40945996,-122.7841888,7.185010315,7,1.082419116,63.56,17,17110019,2,2,"Region_10",33.6,2560,154,19,6690,7.44,17.3642857142857,5.2002614379085
"NLA12_WA-111","NLA06608-2833",47.91608833,-120.1596049,76.6528835,19.05,4.397962151,375.52,17,17020009,10,10,"Region_10",485,6820,640,16,1508,8.71,16.4094736842105,5.73333333333333
"NLA12_WA-112","NLA06608-0641",48.41822976,-117.6640697,27.00039438,8.4,2.918366667,713.93,17,17020003,15,15,"Region_10",91.5,8820,523,93,40556,7.63,15.735625,5.6218954248366
"NLA12_WA-114","",47.03340588,-122.9080173,109.4043479,3.9,10.30480401,0,17,17110019,2,2,"Region_10",173.4,1580,591,92,23852,8.4,18.3975,5.2002614379085
"NLA12_WA-115","",48.95919311,-118.1271161,4.119474272,11.6,0.857997931,774.44,17,17020002,15,15,"Region_10",383,5730,444,50,18363,8.19,12.9816666666667,5.84117647058823
"NLA12_WA-116","",46.94126809,-119.27853,53.06614387,33,5.772214363,263.5,17,17020015,10,10,"Region_10",519,5160,724,22,6647,9.1,10.7226470588235,6.42104575163399
"NLA12_WA-118","",47.35148384,-121.9912542,6.426579912,5.1,1.145117579,180.87,17,17110013,2,2,"Region_10",95.6,480,585,28,18768,7.51,9.318,5.73333333333333
"NLA12_WA-120","",48.29227506,-118.32282,20.6216049,10.6,1.696986813,692.24,17,17020001,15,15,"Region_10",284,3250,239,50,18797,8.3,15.15,5.84117647058823
"NLA12_WA-121","",47.85188997,-122.2449986,22.5790224,13.3,2.35806295,139.8,17,17110012,2,2,"Region_10",104.7,4210,348,9,322,8.06,13.6684615384615,5.2002614379085
"NLA12_WA-124","",48.03662397,-118.8932554,48.09134437,13.8,3.779940745,729.74,17,17020005,10,10,"Region_10",145.1,7820,746,25,2796,8.79,13.9,5.84117647058823
"NLA12_WA-125","",47.13372828,-124.0473316,7.674700246,4.3,2.127437038,10.82,17,17100105,1,1,"Region_10",98,480,228,72,28469,7.63,10.125,5.33196078431373
"NLA12_WA-126","",48.40619468,-117.180602,16.2302139,6.8,2.230999139,1091.55,17,17010216,15,15,"Region_10",20.1,2470,171,40,16667,7.03,13.2935714285714,5.6218954248366
"NLA12_WA-129","",46.15548587,-121.701039,1.588325787,7.5,0.468451518,1083.13,17,17080002,4,4,"Region_10",38.3,290,35,85,35419,7.45,7.27857142857143,6.00339869281046
"NLA12_WA-131","",48.39574918,-120.1848543,8.691569116,8.7,1.486556054,714.72,17,17020008,10,10,"Region_10",622,12070,1159,95,29165,8.43,15.6466666666667,5.35705882352941
"NLA12_WA-133","",48.56842531,-123.0735207,26.39549299,2.85,2.12929694,47.75,17,17110003,2,2,"Region_10",213.5,11650,805,57.5,19484.5,7.965,20.835,5.49006535947712
"NLA12_WA-138","",47.59338259,-122.1245929,23.96914436,13.8,2.002605436,78.49,17,17110012,2,2,"Region_10",78.8,4310,279,12,1703,7.46,14.518125,5.2002614379085
